,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,NPOPCHG_2010,BIRTHS2010,DEATHS2010,NATURALINC2010,INTERNATIONALMIG2010,DOMESTICMIG2010,NETMIG2010,RESIDUAL2010,GQESTIMATESBASE2010
50,50,3,6,1,97,Alabama,Mobile County,412992,413139,413315,176,1345,949,396,122,-314,-192,-28,6949
51,50,3,6,1,99,Alabama,Monroe County,23068,23067,23005,-62,56,39,17,0,-82,-82,3,230
52,50,3,6,1,101,Alabama,Montgomery County,229363,229375,229505,130,712,458,254,86,-186,-100,-24,9082
53,50,3,6,1,103,Alabama,Morgan County,119490,119490,119608,118,382,292,90,18,26,44,-16,2133
54,50,3,6,1,105,Alabama,Perry County,10591,10575,10563,-12,32,18,14,0,-27,-27,1,721
55,50,3,6,1,107,Alabama,Pickens County,19746,19746,19749,3,53,31,22,-1,-18,-19,0,334
56,50,3,6,1,109,Alabama,Pike County,32899,32901,32970,69,93,78,15,28,28,56,-2,1963
57,50,3,6,1,111,Alabama,Randolph County,22913,22916,22937,21,42,49,-7,0,30,30,-2,407
58,50,3,6,1,113,Alabama,Russell County,52947,52963,53321,358,189,93,96,7,232,239,23,574
59,50,3,6,1,115,Alabama,St. Clair County,83593,83350,83571,221,278,192,86,11,122,133,2,1967
60,50,3,6,1,117,Alabama,Shelby County,195085,195253,196032,779,633,317,316,53,395,448,15,2574
61,50,3,6,1,119,Alabama,Sumter County,13763,13763,13730,-33,27,57,-30,0,-2,-2,-1,718
62,50,3,6,1,121,Alabama,Talladega County,82291,82353,82172,-181,202,194,8,-8,-185,-193,4,3143
63,50,3,6,1,123,Alabama,Tallapoosa County,41616,41618,41476,-142,128,162,-34,1,-112,-111,3,576
64,50,3,6,1,125,Alabama,Tuscaloosa County,194656,194667,194996,329,562,323,239,46,62,108,-18,10423
65,50,3,6,1,127,Alabama,Walker County,67023,67020,66997,-23,218,240,-22,3,5,8,-9,866
66,50,3,6,1,129,Alabama,Washington County,17581,17580,17626,46,41,25,16,2,27,29,1,147
67,50,3,6,1,131,Alabama,Wilcox County,11670,11664,11560,-104,21,64,-43,0,-66,-66,5,108
68,50,3,6,1,133,Alabama,Winston County,24484,24488,24412,-76,59,61,-2,0,-76,-76,2,301
69,40,4,9,2,0,Alaska,Alaska,710231,710249,713910,3661,2892,920,1972,430,1168,1598,91,26366
70,50,4,9,2,13,Alaska,Aleutians East Borough,3141,3141,3166,25,2,1,1,14,9,23,1,1726
71,50,4,9,2,16,Alaska,Aleutians West Census Area,5561,5561,5559,-2,5,1,4,11,-19,-8,2,2543
72,50,4,9,2,20,Alaska,Anchorage Municipality,291826,291836,293321,1485,1161,314,847,256,363,619,19,8450
73,50,4,9,2,50,Alaska,Bethel Census Area,17013,17013,17084,71,117,33,84,0,-12,-12,-1,338
74,50,4,9,2,60,Alaska,Bristol Bay Borough,997,997,1002,5,3,3,0,0,5,5,0,16
75,50,4,9,2,68,Alaska,Denali Borough,1826,1822,1835,13,9,3,6,4,3,7,0,36
76,50,4,9,2,70,Alaska,Dillingham Census Area,4847,4847,4850,3,19,17,2,0,2,2,-1,52
77,50,4,9,2,90,Alaska,Fairbanks North Star Borough,97581,97585,98264,679,482,116,366,88,197,285,28,4313
78,50,4,9,2,100,Alaska,Haines Borough,2508,2508,2501,-7,2,10,-8,1,1,2,-1,0
79,50,4,9,2,105,Alaska,Hoonah-Angoon Census Area,2150,2103,2107,4,3,0,3,0,1,1,0,0
80,50,4,9,2,110,Alaska,Juneau City and Borough,31275,31276,31387,111,101,61,40,8,61,69,2,887
81,50,4,9,2,122,Alaska,Kenai Peninsula Borough,55400,55400,55554,154,182,108,74,5,75,80,0,1722
82,50,4,9,2,130,Alaska,Ketchikan Gateway Borough,13477,13526,13573,47,41,14,27,3,16,19,1,246
83,50,4,9,2,150,Alaska,Kodiak Island Borough,13592,13606,13646,40,64,11,53,25,-38,-13,0,350
84,50,4,9,2,158,Alaska,Kusilvak Census Area,7459,7459,7467,8,55,8,47,0,-42,-42,3,9
85,50,4,9,2,164,Alaska,Lake and Peninsula Borough,1631,1635,1639,4,10,1,9,0,-5,-5,0,37
86,50,4,9,2,170,Alaska,Matanuska-Susitna Borough,88995,88985,89732,747,323,100,223,7,483,490,34,1370
87,50,4,9,2,180,Alaska,Nome Census Area,9492,9492,9543,51,55,29,26,0,22,22,3,219
